slice,sid_metric,target_metric,n,n_unique_sid,n_unique_target,spearman_rho,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,abs_spearman
tie_break=popularity,pas_emb,NDCG@1,5,5,5,-0.09999999999999999,0.8728885715695384,-0.03990086533355103,0.949210124103426,0.0,1.0,0.09999999999999999
tie_break=popularity,entropy_l0,NDCG@1,5,5,5,0.0,1.0,0.2748421771609815,0.6545170290453709,0.19999999999999998,0.8166666666666667,0.0
tie_break=popularity,entropy_l1,NDCG@1,5,5,5,0.0,1.0,0.10016547291915205,0.8726789427383517,0.0,1.0,0.0
tie_break=popularity,entropy_l3,NDCG@1,5,5,5,0.0,1.0,-0.04286103165242761,0.9454443530357868,0.0,1.0,0.0
tie_break=popularity,n_layers,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,codebook_size,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,embed_dim,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,beta,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,gamma,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,ema_decay,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,temperature,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,margin,NDCG@1,0,0,0,,,,,,,
tie_break=popularity,unique_l3,NDCG@1,5,1,5,,,,,,,
tie_break=popularity,entropy_mean,NDCG@10,5,5,5,0.7999999999999999,0.10408803866182788,0.5620996124141748,0.32402585655682553,0.6,0.23333333333333334,0.7999999999999999
tie_break=popularity,unique_total_base,NDCG@10,5,5,5,0.7999999999999999,0.10408803866182788,0.7033683923003252,0.18506471220392154,0.6,0.23333333333333334,0.7999999999999999
tie_break=popularity,n_collisions,NDCG@10,5,5,5,-0.7999999999999999,0.10408803866182788,-0.703368392300325,0.185064712203922,-0.6,0.23333333333333334,0.7999999999999999
tie_break=popularity,cfr,NDCG@10,5,5,5,0.7999999999999999,0.10408803866182788,0.7033683923003295,0.1850647122039177,0.6,0.23333333333333334,0.7999999999999999
tie_break=popularity,cur_total,NDCG@10,5,5,5,0.7999999999999999,0.10408803866182788,0.7033683923003241,0.1850647122039228,0.6,0.23333333333333334,0.7999999999999999
tie_break=popularity,zipf_alpha_full,NDCG@10,5,5,5,-0.7999999999999999,0.10408803866182788,-0.7454653805937872,0.14812730323196038,-0.6,0.23333333333333334,0.7999999999999999
tie_break=popularity,entropy_l2,NDCG@10,5,5,5,0.7999999999999999,0.10408803866182788,0.5439283978816764,0.34330182994743114,0.6,0.23333333333333334,0.7999999999999999
tie_break=popularity,entropy_min,NDCG@10,5,5,5,0.6,0.28475697986529386,0.5568399597015599,0.3295764888710997,0.39999999999999997,0.48333333333333334,0.6
tie_break=popularity,entropy_l0,NDCG@10,5,5,5,0.49999999999999994,0.3910022189557703,0.6068485738013767,0.2778036081702452,0.19999999999999998,0.8166666666666667,0.49999999999999994
tie_break=popularity,entropy_l1,NDCG@10,5,5,5,0.49999999999999994,0.3910022189557703,0.5319762650705772,0.3561300156608888,0.39999999999999997,0.48333333333333334,0.49999999999999994
tie_break=popularity,entropy_l3,NDCG@10,5,5,5,0.49999999999999994,0.3910022189557703,0.5405103382578087,0.34695854493928496,0.39999999999999997,0.48333333333333334,0.49999999999999994
tie_break=popularity,pas_behavioral,NDCG@10,5,5,5,0.39999999999999997,0.5046315754686912,0.3584172277936411,0.5536172044577269,0.39999999999999997,0.48333333333333334,0.39999999999999997
tie_break=popularity,unique_l0,NDCG@10,5,2,5,0.35355339059327373,0.5594043441634877,0.48786114859002916,0.40444079665547994,0.31622776601683794,0.4795001221869535,0.35355339059327373
tie_break=popularity,unique_l1,NDCG@10,5,2,5,0.35355339059327373,0.5594043441634877,0.4878611485900292,0.40444079665547994,0.31622776601683794,0.4795001221869535,0.35355339059327373
tie_break=popularity,unique_l2,NDCG@10,5,2,5,0.35355339059327373,0.5594043441634877,0.4878611485900292,0.40444079665547994,0.31622776601683794,0.4795001221869535,0.35355339059327373
